,cell_name,total_mass_1mb_87,total_mass_1mb_95,total_mass_1mb_98,total_mass_2mb_85,total_mass_4mb_85,cell_line
35,cell111_HeLa_,1402.2795360467649,862.0745392937074,358.9667841804866,343.5947010009286,81.01273073027467,HeLa
36,cell126_HeLa_,1452.5168217767477,857.8342227834887,353.2313447690158,362.5604161896781,89.3200450060163,HeLa
37,cell278_HeLa_,1449.7475766049024,832.4113790211683,342.14268365480126,360.7286461325429,92.63465371105264,HeLa
38,cell173_HeLa_,1565.0299182887811,879.4789210124883,361.32487326900116,388.422153431234,99.03179252352068,HeLa
39,cell339_HeLa_,1028.2433692069353,747.6698142665089,333.43086776365794,255.66691080927126,71.2684423326902,HeLa
40,cell144_HeLa_,1296.2332154115502,828.3155302747522,349.05773310824645,318.74567629411536,72.0277955076985,HeLa
41,cell614_K562_,1480.4046623249021,857.1994389471945,357.49560352848084,376.34079295829696,98.21874868735225,K562
42,cell57_HeLa_,1634.427755689028,857.0234596965713,346.809053131983,416.867488527584,108.13691232464089,HeLa
43,cell296_HAP1_,1076.0657319370316,722.1205767592053,323.84178738544796,266.3847282370789,68.29088237171784,HAP1
44,cell582_K562_,1321.1648637635085,802.5892051372898,335.6307256405919,341.1827760598426,82.28051366105694,K562
45,cell24_HAP1_,1556.4291384088347,830.2679190630702,350.63325428766393,410.1145537294617,106.76921155560002,HAP1
46,cell137_HAP1_,1171.3381011628283,770.8496526309201,324.6387285703719,290.99051727043803,79.80969920980296,HAP1
47,cell493_HeLa_,1521.3035919201764,865.3377023722021,358.7006332140644,377.8276599890413,85.81818390210091,HeLa
48,cell100_HAP1_,1614.0872453360232,893.1447270802421,360.79283127156936,411.04392572987854,95.30696931587117,HAP1
49,cell287_HeLa_,1521.5016597622189,873.2401473819853,364.4674796847554,380.70052101073554,91.71609930818424,HeLa
50,cell328_HAP1_,1119.0366304601293,789.6896208797345,341.78411386737156,274.27183815986683,63.52456120183291,HAP1
51,cell155_HAP1_,1161.04323929981,758.9087753236798,338.36853306064563,280.500148961636,65.31813922488047,HAP1
52,cell253_HeLa_,1438.8607754803907,878.0894654800234,362.78560338038284,357.84495415340825,82.06606463742767,HeLa
53,cell503_K562_,1764.2486916018192,909.342208385283,361.5083054841047,459.8051233891845,118.10798000559367,K562
54,cell92_HAP1_,1750.0503282894317,889.6778139346571,356.779272179856,445.10327239819463,126.28195220348863,HAP1
55,cell534_K562_,1550.1531423430467,867.4412764373131,360.5297507459932,396.3489720837651,102.80077731890604,K562
56,cell425_HeLa_,1624.7185792819364,846.0606488638765,340.2349444551733,407.81592481929056,105.48063173914113,HeLa
57,cell347_HeLa_,1741.7492853253798,887.0391191329222,352.92773744146007,442.4395903410313,102.07462790545978,HeLa
58,cell370_HeLa_,1417.6502575602615,869.0466528894601,362.39642347786105,353.74427954628436,84.44072924527208,HeLa
59,cell561_K562_,1285.6237790567666,820.6393997485927,352.0821481219348,310.36819051077924,80.0563270015426,K562
60,cell206_HeLa_,1450.5890611625573,861.7187455931016,355.57960949277356,359.3923472406689,83.44584169342968,HeLa
61,cell556_K562_,1419.737939781392,855.398397116707,356.3122312930524,356.6514502897537,89.26442492978245,K562
62,cell325_HeLa_,1530.7930546943078,839.3819060004474,346.9450972900579,384.2967928458243,99.76604421856581,HeLa
63,cell608_K562_,1092.7011629483518,753.3188420375868,329.17598286411567,275.4245038058132,64.34437755317668,K562
64,cell158_HeLa_,1497.4759710869123,839.8292323491994,344.7054616043216,373.54938909673535,97.9621944864472,HeLa
65,cell190_HeLa_,1596.5102570810295,866.8705223308386,356.298889146147,406.699156444792,100.37097435490587,HeLa
66,cell361_HAP1_,1460.805060824592,916.420393083479,367.15466337048366,360.2064148491477,82.1415094602772,HAP1
67,cell275_HAP1_,1573.9874136187955,881.9087261138548,359.89678772169964,400.82901294343895,91.35617701269999,HAP1
68,cell38_HAP1_,1541.4436065266887,866.0747497855928,359.23008079998954,394.3379108024085,93.9816560144711,HAP1
69,cell242_HAP1_,1387.4802378166344,830.0178070982706,350.0962509837888,333.2009546098514,78.53698110454621,HAP1
70,cell83_HeLa_,1650.7035288594989,856.6648726426647,351.7298463139848,416.1906606838252,98.532634805378,HeLa
71,cell461_HAP1_,1393.2196096457487,828.7419582406287,345.14257304378634,339.643453426413,86.99270531416579,HAP1
72,cell334_HAP1_,881.3253647430292,698.2055461724419,332.08662299232566,211.06490592216875,50.53916873769036,HAP1
73,cell456_HAP1_,1179.0475342603377,751.2784783307155,327.7563077118959,294.81362905729395,77.48998160120331,HAP1
74,cell577_GM12878_,1497.1565945641896,861.8494607939001,360.878207364009,369.7382041714692,95.65012607029861,GM12878
75,cell189_HeLa_,1302.7183174270144,790.8455732277855,331.71953475739014,321.66497661205455,96.35234230452062,HeLa
76,cell378_HAP1_,1288.5466479812553,745.7167600014031,322.4577233340534,340.251534617953,87.56694698935797,HAP1
77,cell16_HAP1_,1776.4550757648667,907.7254927122432,359.33762150717007,455.2696229020652,115.79707984365601,HAP1
78,cell587_K562_,1461.982125664082,824.9165072726648,338.66938496122964,382.6247216328304,95.48820408984528,K562
79,cell478_HAP1_,1145.8287456939356,762.6224784308858,332.86653916578734,283.1166121990276,70.57640311354044,HAP1
80,cell167_HAP1_,1218.3560711920854,831.6076024402595,355.19192698697105,296.83286677696367,68.49128061607883,HAP1
81,cell43_HAP1_,775.8651129886323,578.5638157042458,294.37813238818535,197.9217185931093,48.83650642218024,HAP1
82,cell282_HeLa_,1480.8630556694188,855.7455528313851,354.898861599563,368.2906283709794,88.20211767885303,HeLa
83,cell74_HAP1_,1335.4230012634232,833.5484890637038,346.4275387606079,342.1681077605427,82.66122667619358,HAP1
84,cell487_HAP1_,670.9662059359889,558.8840210179741,296.6367830140773,163.26278113873929,37.65853322012636,HAP1
85,cell198_HAP1_,1124.418594660468,786.4317489646315,346.1111688294609,268.86811896730615,68.31611375176928,HAP1
86,cell114_HeLa_,1472.4334363442117,858.8498810574355,354.2138716980959,369.32408230741294,91.36730729972172,HeLa
87,cell228_HeLa_,1626.6862400818136,878.6838396177586,355.3348725462936,406.17755222836047,101.33037730108387,HeLa
88,cell52_HeLa_,1740.0911707413618,868.7608412587631,355.0335670163231,455.8440734900187,127.65160918043327,HeLa
89,cell176_HeLa_,1446.6823373566904,834.4454622042336,357.1642616115714,369.2518101039756,102.04823321572314,HeLa
90,cell387_HAP1_,1180.1386973285435,781.5027665220389,333.0224690300772,293.29415478973146,68.22912708193537,HAP1
91,cell86_HeLa_,1537.7796424233568,865.3700068949142,357.5009349229688,381.60427172105483,90.92331045291931,HeLa
92,cell270_HAP1_,879.6231236325297,622.4209117078829,308.5870914856747,214.52044874776112,53.63413997723475,HAP1
93,cell431_HAP1_,1356.2193074633497,818.6300310846304,347.3425165873748,329.7437752406744,77.47336564652682,HAP1
94,cell353_HAP1_,920.9095609739527,663.9852142573807,298.34467726254934,228.11285821319564,60.76708318006713,HAP1
95,cell364_HAP1_,930.216723695874,688.4382681336464,322.373130929952,229.65481012922064,61.18080143066985,HAP1
96,cell406_HAP1_,850.208225873787,630.5843710226425,317.76199593896877,214.5451470453665,50.883610057645356,HAP1
97,cell225_HAP1_,930.0127441124777,687.2675003502937,319.1225492362654,230.6792646819489,56.97961109870861,HAP1
98,cell453_HAP1_,737.984276707583,624.3025742910341,330.02886280930676,177.13502059658555,46.01951967962898,HAP1
99,cell306_HAP1_,1146.5955629812493,754.8330608690261,335.0529840590882,302.7033036868315,75.91378074788621,HAP1
100,cell184_HAP1_,1291.6773295055618,824.3302117009913,351.10820026998266,310.67352820375027,84.0204670701303,HAP1
101,cell375_HeLa_,1487.5970658112892,851.5842408427675,352.481018932639,378.66656651014597,83.17444047599847,HeLa
102,cell420_HeLa_,1744.3547041190948,898.0397232908986,358.04607562724095,446.543481645926,112.05014534848749,HeLa
103,cell342_HeLa_,1204.1555928382982,817.2046391788585,354.4614589324509,291.8583474090403,68.15822028533643,HeLa
104,cell261_HeLa_,1811.1885031291986,903.204741997193,364.3621898896664,461.55021921454033,106.76744149137376,HeLa
105,cell531_K562_,1918.421336546956,936.2900767490669,363.01714215683774,508.6206705370474,127.96596155913505,K562
106,cell506_K562_,1981.6979410243785,962.9970848003757,369.021811461782,509.2198301942894,124.35367195006177,K562
107,cell256_HeLa_,1668.1820598530217,882.1012051890314,356.17818114331214,418.14728068269255,105.08353260266269,HeLa
108,cell97_HAP1_,801.4927537454714,654.2135496153014,326.0720659814691,199.4995048543942,43.95715870901559,HAP1
109,cell475_HeLa_,1353.7372414332544,857.6369363796033,360.6880239776436,336.82669038120935,82.80416277610038,HeLa
110,cell320_HeLa_,1695.854729422897,900.3963007787501,360.45120297559833,433.2198816966147,100.5155576516689,HeLa
111,cell442_HeLa_,966.8652956703002,685.5066698288302,321.42712541083324,241.63525413622258,55.15014291478792,HeLa
112,cell79_HeLa_,1700.6185403905379,905.9881700734373,363.273838581678,436.08912935150244,105.90633663443953,HeLa
113,cell564_K562_,1255.1244127792904,796.0430001581594,342.792268135983,310.7033451291424,68.21999541982659,K562
114,cell539_GM12878_,1063.8915443794285,724.4346115342947,328.7473282466906,263.3008880214063,57.18287332946391,GM12878
115,cell575_K562_,1877.184358419121,951.8528135175309,368.2026865731816,489.7294385960853,117.21874682385088,K562
116,cell68_HeLa_,1554.8040075714403,849.2685266221608,345.90162012537655,392.3256740364891,102.3783083505487,HeLa
117,cell212_HeLa_,1592.7368802412566,851.0333500207196,348.32669031644554,411.7375855161782,100.63927627652922,HeLa
118,cell331_HeLa_,1745.2882659852262,874.2149848500409,348.8860846702753,442.6901302715945,110.88531869110895,HeLa
119,cell464_HeLa_,1203.543318989844,805.6193823825101,346.67862602103736,302.0140217368276,67.3855568462107,HeLa
120,cell247_HeLa_,1877.487953056316,917.2704445550303,361.83902919465874,493.0583861691589,113.75768032713148,HeLa
121,cell520_K562_,1730.171953643377,901.7749035129427,359.8609483360534,437.1194103533135,107.27617501362248,K562
122,cell195_HAP1_,1601.9851501086189,850.4844216325018,353.43513275474186,424.9132326303784,96.93647301292835,HAP1
123,cell119_HeLa_,1676.9115924535959,897.571782128005,364.26424282381583,420.706222922747,96.32805299650913,HeLa
124,cell317_HAP1_,1822.8818100628064,942.9218646739345,367.2512257024506,458.1279942025914,107.37817647077961,HAP1
125,cell203_HAP1_,863.6543298017866,655.1333942023836,309.7331891172132,213.30852306178622,52.93848272314604,HAP1
126,cell234_HAP1_,967.8496487662808,683.0400771767789,317.18735924956167,233.78495187356606,62.63837591502899,HAP1
127,cell108_HAP1_,1335.3761816200763,826.5929137197836,352.505471010065,326.19509131240636,81.73631697376163,HAP1
128,cell417_HAP1_,1289.498870179364,801.4886639972739,346.330661227091,314.2867507100772,81.4246690211917,HAP1
129,cell517_GM12878_,1603.7643847627198,872.237554603385,354.29090595953215,410.0529607872007,94.27237660376925,GM12878
130,cell396_HAP1_,1552.1362837060783,886.8616351167052,360.40650581136623,389.9658650363678,94.87295228845983,HAP1
131,cell150_HeLa_,1479.5000186593466,848.1451178856058,350.80678039192924,362.7615068892817,87.76051684958844,HeLa
132,cell239_HeLa_,1572.6835038811305,865.8483927914352,351.8377251581364,400.4559177200317,93.38843116322215,HeLa
133,cell496_HAP1_,792.9806339718601,607.069177380932,300.32181505599783,195.005088307715,58.51239478227352,HAP1
134,cell105_HeLa_,1572.0678302846632,878.1941863352899,363.9038578846354,396.79347958594155,96.32690327528493,HeLa
135,cell132_HeLa_,1572.580586092908,863.1217543316692,356.308195522783,396.7072981938074,100.5808359834528,HeLa
136,cell580_GM12878_,1565.7218731463606,831.2420633769057,340.27790862479844,419.0769823241801,107.79902347996678,GM12878
137,cell21_HeLa_,1506.334679777886,855.7958897274027,357.109045485739,380.0313127984607,98.33224459039272,HeLa
138,cell65_HAP1_,1227.3790959523553,868.2514288304726,364.52245612643287,291.810591623095,69.27529924967197,HAP1
139,cell293_HeLa_,1695.0103628199972,896.861674749774,358.12081398475294,427.3837015540332,98.68256737527844,HeLa
140,cell141_HAP1_,1931.6857759975455,955.6581816685126,364.90714895081874,488.84158654401006,123.90323568050299,HAP1
141,cell469_HAP1_,1617.5038695471635,870.993596262649,353.61220862479865,401.3408085416278,96.7440954193259,HAP1
142,cell596_K562_,1511.7285120853048,871.5038116514788,356.71041326092916,381.9765510755875,86.70230071301128,K562
143,cell30_HAP1_,1659.351229817005,856.7830532967454,355.8242129200187,439.02163724834236,113.80371029941392,HAP1
144,cell123_HAP1_,1241.4297465167028,802.5758601198888,342.9913844578126,305.80645917788036,79.07145439830774,HAP1
145,cell504_GM12878_,1648.7932029028298,858.2895008106582,353.536123240768,426.23896956100236,107.47641172840407,GM12878
146,cell369_HAP1_,1996.5177970140842,929.9773586398395,357.55907960319007,527.5008015492199,122.38012487805766,HAP1
147,cell2_HeLa_,1547.2911564913438,885.8956461083534,368.18893304289594,383.2549787831541,92.62368212936391,HeLa
148,cell218_HAP1_,665.1489020950439,551.1371501009685,309.5747935105036,153.4531072160255,35.61839169348001,HAP1
149,cell359_HAP1_,1463.3608555449837,835.2757177975917,354.5050797983407,374.3663042684457,91.2068857929685,HAP1
150,cell124_HAP1_,1614.2960296222668,870.7251088963324,358.4091945265345,406.82503932183477,98.13025087753184,HAP1
151,cell113_HAP1_,1073.6894843076125,708.8867949819212,313.4849398431487,278.74347367338976,62.8091851180618,HAP1
152,cell480_HeLa_,1514.4390145273615,868.4364591799896,357.64765450574095,382.13321277702613,88.6038498133723,HeLa
153,cell5_HeLa_,1479.7242894776211,832.2734744586437,343.34463319935446,376.21384821668283,90.19575731120136,HeLa
154,cell591_K562_,1450.7433756708588,859.5873480698128,356.85996252453816,357.737299695101,84.90034807584246,K562
155,cell37_HAP1_,1866.7336178470773,918.2695429315708,357.8464009416837,483.7505517925465,120.19032434242646,HAP1
156,cell285_HAP1_,799.3178007577828,631.5079917940855,315.66268470445254,191.7974028155943,52.911447993726874,HAP1
157,cell559_K562_,1107.737907201883,727.5796816283807,326.66435536148674,275.61692013747165,75.8682707039592,K562
158,cell209_HeLa_,1439.5452858224228,848.6386374723149,355.12823348005276,353.9101060845404,85.08477059956803,HeLa
159,cell73_HeLa_,1593.308610732528,886.08061528631,359.34240416230233,405.3840087500321,100.5478405650198,HeLa
160,cell160_HeLa_,1622.6935285974278,878.309402951603,355.17491611823664,414.55143050974993,96.26480267084965,HeLa
161,cell607_K562_,1345.6727996500435,910.0029221347331,366.3953105861767,330.45924977071434,72.36381321683285,K562
162,cell448_HeLa_,1557.8462030790874,858.6249527135762,347.8282240139374,404.32409745481675,101.6935500457084,HeLa
163,cell11_HeLa_,1686.8091893151175,877.2544086996676,357.8290820253186,440.7774397211904,98.61014867864593,HeLa
164,cell348_HeLa_,1039.0258297876903,747.2749911582196,333.050168797625,254.75361369012057,66.61268042121746,HeLa
165,cell135_HeLa_,1878.6459515326528,932.2679456949653,366.86064443082546,479.3036828307951,116.17127939604993,HeLa
166,cell288_HeLa_,1329.9604028948274,832.7107177543155,351.31918815334643,325.2224991272122,81.49239150699589,HeLa
167,cell524_GM12878_,1097.6364832992112,780.7260820769566,346.98726781322466,271.75749551108237,62.04116192587389,GM12878
168,cell204_HAP1_,1242.7453896213528,811.0094639009956,338.4927375352205,309.64206084996044,69.08180439427251,HAP1
169,cell310_HAP1_,1470.6047894825883,863.528137970806,352.928896176096,359.93833233633165,84.25739747530181,HAP1
170,cell445_HAP1_,1185.278328291855,794.5684426513156,347.65939078854694,292.1908478743833,78.05177615729787,HAP1
171,cell90_HeLa_,1722.0928471272716,904.7680173844399,366.78212861258123,431.83288041596757,99.94142734870134,HeLa
172,cell410_HAP1_,673.4472541779562,553.8775982221188,293.0263869219677,167.0162041397902,39.733978924611094,HAP1
173,cell183_HeLa_,1421.6988355250403,861.2834783699632,363.0465516258169,353.5589158151012,87.63793626818511,HeLa
174,cell372_HAP1_,906.4650140248721,684.2292834318606,322.4237473915408,228.66862607147226,57.4935197438075,HAP1
175,cell345_HAP1_,1653.7871940907148,884.2696701316628,355.5669594263525,411.16068199245194,103.79593173350932,HAP1
176,cell427_HAP1_,1048.0174366298788,747.2123676420593,333.35989233090936,256.15087018074746,64.74809133347165,HAP1
177,cell454_HeLa_,1537.8321342276768,863.7634319376004,350.8273087418961,393.20767073909286,95.439536010219,HeLa
178,cell611_GM12878_,1256.236839787019,801.5207797688677,352.3106158539208,302.0211815387342,74.15051203627267,GM12878
179,cell336_HeLa_,760.0032378127842,601.3836416218021,307.23884287155533,179.94672263325822,43.38801565401978,HeLa
180,cell301_HeLa_,1449.045115657039,835.9839161273346,344.51109067775985,374.69564823060796,94.24216057884871,HeLa
181,cell463_HeLa_,732.6221555707135,566.8233470298919,286.76815501153715,176.3714672313818,49.209779985363966,HeLa
182,cell572_K562_,1098.798852312831,736.3257643649916,326.98865766633236,273.1788038082743,61.64114314983978,K562
183,cell222_HeLa_,1504.830853678337,837.8011391655733,343.6621339386831,388.85884479038725,92.02324371023546,HeLa
184,cell215_HeLa_,1825.0445448330674,918.6611288659847,360.1702357765605,472.70986740953356,108.60529173773658,HeLa
185,cell58_HeLa_,1419.3558504457194,829.9198450908933,350.6237443173801,350.6134122177864,89.20147945188839,HeLa
186,cell545_K562_,1633.2312660524365,874.5749745746642,360.08115853343213,417.0544699932784,104.57994002410257,K562
187,cell401_HeLa_,1423.6953109481985,846.4934474736243,353.43831036143916,357.8524916484303,82.70629240122764,HeLa
188,cell363_HeLa_,1085.085155452057,734.8639743432611,321.60480451035664,268.4936460964291,69.59169515282531,HeLa
189,cell8_HAP1_,1730.5515868188113,932.334512522549,370.8823750891471,432.5563889474115,105.82725686193427,HAP1
190,cell240_HeLa_,1393.8381753153683,821.680483484465,345.2489229889733,360.48018905522105,84.17207216461028,HeLa
191,cell510_K562_,1862.4491838304778,914.4042704648655,357.8914383733474,491.3645508144589,120.43738477087324,K562
192,cell277_HeLa_,1394.8281931750462,824.1660055584332,346.57297977688296,344.15339913239256,85.7510971502424,HeLa
193,cell606_GM12878_,1430.0485653183962,812.883934628368,338.57005486844656,348.28274989747797,87.72566511298406,GM12878
194,cell266_HeLa_,1314.0243679055804,818.3338141557626,347.69472711336977,328.6779822460774,81.68869810741887,HeLa
195,cell536_K562_,1568.1638575198454,883.0988525518435,360.3283389779805,396.2040375428477,101.85256454605039,K562
196,cell501_K562_,1658.2529308803062,909.5319645806672,364.96400468851203,423.1164865747205,101.08288864520908,K562
197,cell251_HeLa_,1375.2929957043443,879.6011247790491,360.9263317039208,337.45129816835964,84.1470592952993,HeLa
198,cell138_HeLa_,1469.888769861921,856.3802844031117,354.12145932319083,376.54903116436856,87.57350156717061,HeLa
199,cell554_K562_,970.9379318243342,706.8063709056078,319.14276076046895,244.95620051816562,64.18642569879003,K562
200,cell49_HeLa_,1543.1040820492683,899.732083793953,363.4442598866401,376.2401660732455,85.60458207064005,HeLa
201,cell233_HeLa_,1782.1561865486476,893.7371960781693,355.7001333254383,465.5668046876269,113.65289806331043,HeLa
202,cell563_K562_,1690.2466263117549,889.9173355184901,361.91545240675634,435.4571785337837,113.72779498478855,K562
203,cell472_HeLa_,987.1124040254949,720.0147154722408,334.60177883529553,233.71799750762983,55.64046045564368,HeLa
204,cell327_HeLa_,1344.3319523686055,836.1207032616658,351.32067065293325,329.52991400400475,73.07677689985782,HeLa
205,cell354_HAP1_,1433.640675461365,880.6961032609095,363.005002251328,358.311875177527,82.67676720118834,HAP1
206,cell129_HAP1_,1496.5278616308146,853.9975372224093,354.78517352297274,377.6009950237208,91.71167817938786,HAP1
207,cell436_HAP1_,1797.7777729758573,909.5666340031698,359.3005433164003,466.26585824090284,111.64116285296308,HAP1
208,cell569_GM12878_,1208.4141222447754,765.022108880339,339.40537130887515,309.4312082912619,75.69863767041795,GM12878
209,cell192_HeLa_,1550.9010634612073,863.3001300800188,356.2810278188672,396.3149941498874,102.62140284537972,HeLa
210,cell81_HeLa_,1793.8283774605277,909.3563332540566,365.47038260709337,458.8850446508153,109.62888407553012,HeLa
211,cell299_HeLa_,1232.4904544898952,790.6001206161338,343.5215402426621,315.14433489092164,76.24240587217142,HeLa
212,cell616_K562_,1038.5814949510582,693.5105673127764,314.16790730065384,252.00679723783475,67.38765368518115,K562
213,cell459_HeLa_,901.3940358060837,711.4386621150891,345.9405705307498,219.37487376328718,51.571960397505855,HeLa
214,cell146_HeLa_,1557.4075115459036,868.3467007669024,362.7699752369206,401.9388728669943,102.52750669823703,HeLa
215,cell171_HeLa_,1435.436547952363,864.6241547923967,357.6305597991833,354.76680830786273,77.35753409784043,HeLa
216,cell380_HAP1_,2017.0063007761769,932.3457687777476,361.36421619703424,536.3053181598603,132.05119697115146,HAP1
217,cell62_HeLa_,1473.729477744795,854.7341542167596,351.76284478426373,370.73995093972303,89.44662482894165,HeLa
218,cell294_HAP1_,1062.3827903770352,747.4132489585727,331.11392006787696,271.1023107354245,71.42076407907848,HAP1
219,cell548_K562_,1739.9982596474567,907.5449391459554,363.0893992180073,443.79347433422754,108.17056077261458,K562
220,cell55_HeLa_,1621.539746737582,865.7511304227482,351.78461956949684,423.567486466441,105.77061362824695,HeLa
221,cell26_HAP1_,1576.3415114702948,883.201012761822,360.22336615431834,389.31335071823116,93.61838148254067,HAP1
222,cell102_HAP1_,1265.246985714317,837.173558996592,354.7926794833088,307.0287099548669,76.82173836925826,HAP1
223,cell491_HeLa_,490.8064696215571,402.6546884705809,236.8478964687567,127.07943035235046,31.375502999728702,HeLa
224,cell44_HAP1_,1349.3104758579368,865.5076116147443,359.46915480147084,323.25814847229907,72.01426469815777,HAP1
225,cell391_HeLa_,930.6181105422281,687.3968586763074,315.0140096021429,222.98664794398127,59.80707143513417,HeLa
226,cell157_HAP1_,1431.9411436268515,851.3170380156673,357.90103501386875,358.15587239447416,88.03475946388987,HAP1
227,cell599_K562_,1252.3253700127004,874.7178762418885,357.01483842024004,311.706972023092,74.39410450739848,K562
228,cell245_HAP1_,1910.3843706755158,940.4677872859413,365.44867394164663,505.7104026199802,122.53303642634052,HAP1
229,cell404_HAP1_,1034.266708374471,732.7873499360805,330.41160715158503,245.82798724104808,59.33374476458506,HAP1
230,cell433_HAP1_,799.1166901203416,633.9738792966544,318.9972230554771,197.86227025971283,64.3522234270304,HAP1
231,cell227_HAP1_,788.7065159303227,617.077076449231,310.8951240158284,189.1481505626273,44.79006975528133,HAP1
232,cell304_HAP1_,2159.8854432440985,974.9855027961553,365.4201323172264,584.8760826777614,143.28474351979798,HAP1
233,cell466_HAP1_,659.5554859285253,538.1431039907843,286.43496865005926,159.28775638152,37.12388439128573,HAP1
234,cell388_HeLa_,1210.7063111022662,782.7955670539068,337.68188489537283,299.93781870577186,74.13492383897511,HeLa
235,cell179_HAP1_,1942.3081646331218,933.2027618482887,364.39039524233533,507.2262869946968,127.82428145516357,HAP1
236,cell553_GM12878_,963.0388515474824,680.5499034570545,305.62668197592666,230.39685548043303,65.71731086298695,GM12878
237,cell451_HAP1_,1092.372844085282,757.239454829611,337.1040527835154,266.8309175012451,69.56209915870016,HAP1
238,cell333_HAP1_,1376.348320242294,867.4263134711778,356.7614558650321,333.0245112760606,71.37601649502508,HAP1
239,cell422_HeLa_,1190.1865706840513,810.5451570497255,345.2712703608922,293.2924002015052,64.61773989469812,HeLa
240,cell499_HAP1_,530.9441105533247,443.94795363092817,257.4641247310673,131.54782259801536,28.34604429169444,HAP1
241,cell254_HeLa_,1348.1413632222682,837.9839941911857,355.2482681796042,338.11574898670926,79.06188419760929,HeLa
242,cell19_HeLa_,1824.801850254285,927.4095099708857,368.86795264693586,470.53704549406416,116.21986679495865,HeLa
