,cell547_K562_,cell583_GM12878_,cell144_HeLa_,cell614_K562_,cell189_HeLa_,cell478_HAP1_,cell79_HeLa_,cell212_HeLa_,cell317_HAP1_,cell209_HeLa_,cell572_K562_,cell58_HeLa_,cell536_K562_,cell569_GM12878_,cell299_HeLa_,cell557_GM12878_,cell143_HeLa_,cell602_K562_,cell588_K562_,cell578_GM12878_,cell199_HAP1_,cell430_HAP1_,cell508_GM12878_,cell597_K562_,cell617_GM12878_,cell286_HAP1_,cell154_HAP1_,cell615_K562_,cell546_GM12878_,cell609_K562_,cell562_GM12878_,cell519_K562_,cell571_GM12878_,cell33_HAP1_,cell581_GM12878_,cell281_HAP1_,cell341_HAP1_,cell498_HeLa_,cell170_HAP1_,cell9_HeLa_
cell572_K562_,3.0098864573615174,3.9043104197669405,2.640973033292277,3.7735382579566203,4.076652224932114,3.8068306931388567,5.0088312917330775,3.7003810042991665,4.038015048823844,3.11368526330909,0.0,3.113323672918438,4.07372161447776,3.5084419871069255,3.3660844946935295,2.8044308851076565,3.401341794120537,2.976507134009163,2.5340048859629998,5.419968952992857,5.2680664778791835,3.8788390381732207,3.435622431687131,3.405865212672073,5.1384557899296635,3.254386044290264,2.8424085261499723,2.8090717201791833,3.960923230050077,2.4617787314762776,2.9655607760549474,2.598944497781357,3.477413301083598,3.4095371606075933,3.9437341117297438,4.396391797726581,4.323955778702501,3.276507784841647,3.4260350032720917,2.6312780997608503
cell58_HeLa_,3.6011221224584746,3.9412691019896355,2.7560653412280134,2.8204820744209766,3.2366718846337514,4.195834980918269,3.430106390575232,1.9962186802428459,2.7384630153500797,1.9058420003066852,3.113323672918438,0.0,2.6902083031762887,3.5995844207314383,2.748254328672512,3.0258523076912005,2.850572860237795,3.24972016846397,2.916729356343889,3.215949193929889,2.765558374979882,4.770661239776717,2.766912398844693,2.6547957778360862,3.22132485061267,2.3056272725127993,3.3341405566273634,2.701180368107732,3.4759855628484386,3.4025037315044213,3.085372671478288,3.52192301105977,2.556822928793017,2.1192308012835746,2.8006201836617333,2.6185942735870125,3.5780499341421237,3.8843834564508235,3.414503876861382,2.2463828218611126
cell536_K562_,3.745728443139307,4.402200987151707,3.733761675742473,3.301768302816054,4.142397406180958,4.917694803548887,4.371480824535256,2.637893988494773,3.243301320382052,2.960736233870154,4.07372161447776,2.6902083031762887,0.0,4.017261623886969,4.0417666199897315,3.6003848198147548,3.4648287224679013,3.68095341965984,3.274504637703372,3.0815384310661686,3.0201529939517497,5.2386142114989465,3.663988791414397,3.324956126524235,3.7612368521332735,3.1445944053201087,4.373131807121614,3.0272630007507937,3.9247552112711386,3.9937058252602666,4.087152703157492,3.9997848216539467,3.14794870244014,2.505708889228786,2.845227592112024,3.4820806984687644,4.4596994917543125,4.876254055929604,4.1968229665771455,3.35694024750795
cell569_GM12878_,3.5878806823265252,3.773063062929732,3.467180942166862,3.6853941994842607,4.650015841265275,4.642589381854883,5.512626628274954,3.6295308986861254,4.243013404352533,3.424177366686002,3.5084419871069255,3.5995844207314383,4.017261623886969,0.0,3.5327198051973223,3.106582263017989,3.532179542474281,3.4005886375955128,2.9425241009871406,5.031543988637375,4.8274973491766495,4.572432217278335,4.0027492812115835,3.3730967623430637,4.994990683770679,3.607556676498323,3.860005109473075,3.2471027020013086,4.022485416921249,3.665138059682625,3.508664101392686,3.761309023953827,3.5649268732011086,3.4523864771748323,3.394907123567113,4.773711934154386,4.391457078027633,3.6389617778776344,3.4803078099890605,3.6869194111262615
cell299_HeLa_,3.619742538675648,3.7624440316535015,2.8487281295931552,3.805993195832425,4.03424884389676,4.174956939858409,4.024100075122723,2.797863868605665,3.8209986833784786,2.8242196800708452,3.3660844946935295,2.748254328672512,4.0417666199897315,3.5327198051973223,0.0,3.135232163849379,3.1754371235287726,3.5130452017492426,3.0400879052773373,5.1093682686809,4.087422972058361,4.822127078758005,3.84452701476667,3.579904755276883,4.839482597917003,2.7955986664248673,3.363009697825585,2.9500657906772823,3.883096282635424,3.164247237597988,3.070696858156137,3.3594709823186735,3.6653640800405647,3.2754583179556986,3.5137891407667423,4.088169127021774,3.795839290947664,3.654136984427373,3.671783522307539,2.6704232852980905
cell557_GM12878_,3.2266875569086695,3.289106503110413,2.661486901657378,3.3981190216067785,4.056252255788756,3.69062418807874,5.129688104216902,3.7086589171814506,4.072458935716558,2.9608791259788036,2.8044308851076565,3.0258523076912005,3.6003848198147548,3.106582263017989,3.135232163849379,0.0,3.340994091409148,2.8152299224821045,2.529473336020558,5.017076013194386,4.796117633514868,3.8517444592657597,3.5738484055264452,3.031072203059464,4.585333885345433,3.09456318166207,3.0910801998622492,2.961892049693944,3.631940192086451,2.853545746479174,2.891597426880425,2.8840546117486,3.2207452957443348,3.2417896321985222,3.206483415520659,4.3081219316178885,3.9464376203573153,3.0127228087022795,3.2841025477707215,3.1242750135927353
cell143_HeLa_,3.295441279627699,3.8415874469552596,2.7296144778839295,3.3139583730116433,3.6826848879409306,4.495186724239552,4.191601496415922,2.486669518044949,3.373916748535574,2.7416783502396465,3.401341794120537,2.850572860237795,3.4648287224679013,3.532179542474281,3.1754371235287726,3.340994091409148,0.0,3.2268084452185546,3.060767837927197,3.9022954589694416,3.427078975680757,4.586917571040242,3.384750873369894,3.0298952351734343,3.6725897729469787,2.824203398352293,3.63724355852888,2.9770396407465247,3.5848553438775896,3.5675574062654034,3.3908376298855547,3.8199465133184236,3.3145382817345945,2.786940746774801,2.990362828906763,3.5824871702213366,3.990690785115934,4.516492885094446,3.4064694247751195,2.9497038258721253
cell602_K562_,2.616279087922087,3.7081858172445124,2.9421493213175856,3.8115741101067933,4.391725138747113,4.3391261513221435,5.407277075702907,3.7231756313979356,3.9814821572490446,3.0910968816839777,2.976507134009163,3.24972016846397,3.68095341965984,3.4005886375955128,3.5130452017492426,2.8152299224821045,3.2268084452185546,0.0,2.3774990028792136,5.468970853176627,5.207087529656492,3.4843215439680364,3.256963291439096,3.411763147700072,5.117256894085836,3.3810608523193997,2.7500510411217434,2.7982504203580354,4.00230952434544,2.71705505963273,2.8038915354331175,2.7744009517045756,3.2803206319602225,3.300336554591224,3.65473704384861,4.7052739083324795,4.536176453373276,3.434967815600964,3.4623276168455215,2.9739134417945867
cell588_K562_,2.584990139534446,3.783619343111476,2.7125896462034382,3.0451066270747607,3.9013497473201246,3.9408636123777163,4.963390256371175,2.943525546486141,3.56471621039742,2.6314965285821765,2.5340048859629998,2.916729356343889,3.274504637703372,2.9425241009871406,3.0400879052773373,2.529473336020558,3.060767837927197,2.3774990028792136,0.0,4.766413385727125,4.230499934259606,3.5417914005799744,3.1368182318056075,2.8666191204948066,4.575515439387469,2.6928115577782767,2.832057053756819,2.138843201398136,3.917440676293967,2.764240274786787,2.8209422705120684,2.6517005719958564,3.054926796922471,3.2284371995656453,3.2646508447844838,4.049275813753015,4.368462369320212,3.3316803963302117,3.2251821919695534,2.835721009312526
cell578_GM12878_,5.030228623592468,5.134781451083259,4.599698303548914,3.5868121680721554,4.389339915672793,6.476876219627789,3.80057959607423,2.4480344907933462,2.9388052905539377,3.513597191130877,5.419968952992857,3.215949193929889,3.0815384310661686,5.031543988637375,5.1093682686809,5.017076013194386,3.9022954589694416,5.468970853176627,4.766413385727125,0.0,2.280491286455384,6.941386775975425,4.364775187201462,3.7831038602173646,3.2496201501073685,3.459246877687842,5.736685064475672,4.348370865901956,4.293693796544109,5.9046779271092324,4.988510212199852,6.104148834247137,3.5443795512456076,2.8558977744002796,3.2853237273439815,3.124787208688267,4.427710272943191,6.980040269328105,5.228623323665397,4.106872260586949
cell199_HAP1_,4.961905119284443,5.538044371558172,4.17594466120613,3.061737684101466,4.197339870039699,5.995714197276039,3.588937407672241,1.689488963867226,2.077505209340238,2.931695141584324,5.2680664778791835,2.765558374979882,3.0201529939517497,4.8274973491766495,4.087422972058361,4.796117633514868,3.427078975680757,5.207087529656492,4.230499934259606,2.280491286455384,0.0,7.168804432055335,4.176522881295383,3.798687791210898,2.800513050208906,2.3237503943831204,5.238948243762066,3.5449619335503404,4.331575257140511,5.544717032885654,4.835265344414831,5.7799956631173615,3.6847893776605654,2.508609766650697,3.1366988964934146,2.733703948534717,4.372327016878195,6.748955490604357,4.798521892058168,3.43064504326472
cell430_HAP1_,3.960640438537027,5.047784761546938,4.038540357316703,5.539132544079234,5.656636644926005,5.218898184956537,6.601377910604942,5.372455242227997,5.659189905624553,4.535436000157633,3.8788390381732207,4.770661239776717,5.2386142114989465,4.572432217278335,4.822127078758005,3.8517444592657597,4.586917571040242,3.4843215439680364,3.5417914005799744,6.941386775975425,7.168804432055335,0.0,4.767462419097404,4.744442866380757,6.336602118920267,4.953861005508454,3.830548407996755,4.457065396969888,5.34392025617527,4.0732819801060325,4.25950207216653,4.120776315134456,4.667135104282812,4.725355073916393,5.031526097737329,5.948653888376098,6.098704526260212,4.490842158230677,4.582567421373797,4.741478914560554
cell508_GM12878_,3.4787791549417757,4.1554409472195015,3.2108408815857747,3.865662079477821,3.970492965020929,4.617677940043831,4.750345612702434,3.1415824745190317,3.4746581040978803,3.1289140407422957,3.435622431687131,2.766912398844693,3.663988791414397,4.0027492812115835,3.84452701476667,3.5738484055264452,3.384750873369894,3.256963291439096,3.1368182318056075,4.364775187201462,4.176522881295383,4.767462419097404,0.0,3.16831835003475,4.282471003910896,3.1646847955955604,3.649349043422165,3.4268217112265678,4.017650904480672,3.798087236425265,3.6105647423175125,3.583969356622182,3.160679959435624,3.1696028972096535,3.4048674988704475,3.7097371930437815,4.271001793956517,4.354303913887767,4.221801457341811,2.9513563113143695
cell597_K562_,3.5177967937199357,3.7568564585978157,3.225672071123771,2.855975219683219,3.6779568844929447,4.431979453538476,4.382100452293446,2.874626749906578,3.427623885616202,2.9749302917177225,3.405865212672073,2.6547957778360862,3.324956126524235,3.3730967623430637,3.579904755276883,3.031072203059464,3.0298952351734343,3.411763147700072,2.8666191204948066,3.7831038602173646,3.798687791210898,4.744442866380757,3.16831835003475,0.0,3.960299218780274,2.7973322181993057,3.762045064255653,2.923485037822619,3.562036849772338,3.4637088118785697,3.3474302688190534,3.5480248685623486,2.9205272455944975,2.858203823582965,2.986806434570517,3.3609709279149937,4.099372900378443,4.436983633733692,3.983495232397471,3.1812778653770266
cell617_GM12878_,4.47083513806488,5.543829430729845,4.696689417541107,3.946826311848933,4.584517643535848,6.05114270766855,4.21984536502759,2.8529795351070026,2.83519682602184,3.457862035541037,5.1384557899296635,3.22132485061267,3.7612368521332735,4.994990683770679,4.839482597917003,4.585333885345433,3.6725897729469787,5.117256894085836,4.575515439387469,3.2496201501073685,2.800513050208906,6.336602118920267,4.282471003910896,3.960299218780274,0.0,3.3436985919362354,5.752863852804638,3.8448967394321523,4.047212044188441,5.53599714320288,4.894868663589666,5.267566067005514,4.187618614514797,2.888084097790104,3.5796162241420797,3.6843044217415652,4.601385281629433,5.894353881841731,5.240476826032624,4.305198147645896
cell286_HAP1_,3.3392653970353177,3.9595013660230505,2.4587851099836984,2.6712693391578455,3.1970207998598554,4.044742584863885,3.635024748165888,1.9005515912043143,2.2258845416286026,2.458913191324266,3.254386044290264,2.3056272725127993,3.1445944053201087,3.607556676498323,2.7955986664248673,3.09456318166207,2.824203398352293,3.3810608523193997,2.6928115577782767,3.459246877687842,2.3237503943831204,4.953861005508454,3.1646847955955604,2.7973322181993057,3.3436985919362354,0.0,3.227932786076171,2.542147981443317,3.7237887318139338,3.4653389270942045,3.189541091829033,3.5745706747600856,2.8475237568018374,2.3844133877162705,2.5854403227074836,2.978678218698463,3.8561794013836543,4.1237105377074,3.905591207369341,2.2251117519838646
cell154_HAP1_,3.1272922975760973,3.8290300847433754,2.4519570420227073,4.063153546505981,4.0810790588558294,4.13118539615777,4.917276943572206,4.034460787958704,4.354631563430137,3.3204624491494172,2.8424085261499723,3.3341405566273634,4.373131807121614,3.860005109473075,3.363009697825585,3.0910801998622492,3.63724355852888,2.7500510411217434,2.832057053756819,5.736685064475672,5.238948243762066,3.830548407996755,3.649349043422165,3.762045064255653,5.752863852804638,3.227932786076171,0.0,3.2680225424134868,4.385113023243643,2.6572694759357116,3.069554152523783,2.7642244952244783,3.393105712163944,3.6934027725410283,3.419453609344247,4.824592316809054,4.523366988700845,3.870396655997882,3.4812786552135266,3.122540836398545
cell615_K562_,2.3630738434512946,3.7586802692500543,2.875319592186375,2.953804250658007,3.7288400994825746,4.315775171440144,4.423966523652675,2.5167971291657265,2.979932198944005,2.616362945004761,2.8090717201791833,2.701180368107732,3.0272630007507937,3.2471027020013086,2.9500657906772823,2.961892049693944,2.9770396407465247,2.7982504203580354,2.138843201398136,4.348370865901956,3.5449619335503404,4.457065396969888,3.4268217112265678,2.923485037822619,3.8448967394321523,2.542147981443317,3.2680225424134868,0.0,3.2736061153306535,2.7316672318418584,2.8025000026931126,2.799293156242461,3.1519551145143945,2.9819392694898337,3.2109543100872573,3.816533456563125,3.940276339891259,3.776349968383073,3.4798965619534306,2.732218031150026
cell546_GM12878_,3.9449932650650235,4.354204274466497,3.7374383570196215,3.6698163789959843,4.387001045626796,4.812869720401953,4.51593145043538,3.5784273182305255,4.200921739798778,3.226612862993897,3.960923230050077,3.4759855628484386,3.9247552112711386,4.022485416921249,3.883096282635424,3.631940192086451,3.5848553438775896,4.00230952434544,3.917440676293967,4.293693796544109,4.331575257140511,5.34392025617527,4.017650904480672,3.562036849772338,4.047212044188441,3.7237887318139338,4.385113023243643,3.2736061153306535,0.0,4.292169834612089,3.4980486021789687,3.971295104983673,3.545192068133856,3.113916886499589,3.6290854672590873,3.7631705192344294,4.067566489188758,4.556968387159133,3.978102575424603,3.736363580608555
cell609_K562_,2.9490513855086364,3.9089173886529553,2.6443443054168156,3.888664441982918,4.685902447903335,3.9888754025175945,5.499068675750655,4.1377019736194836,4.68204915435841,3.3920680388344073,2.4617787314762776,3.4025037315044213,3.9937058252602666,3.665138059682625,3.164247237597988,2.853545746479174,3.5675574062654034,2.71705505963273,2.764240274786787,5.9046779271092324,5.544717032885654,4.0732819801060325,3.798087236425265,3.4637088118785697,5.53599714320288,3.4653389270942045,2.6572694759357116,2.7316672318418584,4.292169834612089,0.0,2.914718759832647,2.5682664176495122,3.657001509668157,3.993141305646734,3.956850264339799,4.8253980242252625,4.615985447918323,3.3694513016296153,3.702979502539879,3.071744159042387
cell562_GM12878_,3.2966372519531473,3.7927552396744955,2.9514660048894634,3.7230017221700424,4.194004637383633,3.547656257218085,4.384473085940078,3.7032896119621928,3.9455143613169192,2.993907922827826,2.9655607760549474,3.085372671478288,4.087152703157492,3.508664101392686,3.070696858156137,2.891597426880425,3.3908376298855547,2.8038915354331175,2.8209422705120684,4.988510212199852,4.835265344414831,4.25950207216653,3.6105647423175125,3.3474302688190534,4.894868663589666,3.189541091829033,3.069554152523783,2.8025000026931126,3.4980486021789687,2.914718759832647,0.0,3.2346049871991527,3.5112006402064253,3.491673118284631,3.5545003537866506,4.398150679149207,4.609986116494145,3.3927079377299814,3.3479959539303072,3.164047290425644
cell519_K562_,2.8328029055743134,3.7901491832349508,2.843203591150803,3.8881833324588495,4.443736307527769,4.119149141890743,5.2366306120963095,4.067375419541094,4.460389459342081,3.4323043577284373,2.598944497781357,3.52192301105977,3.9997848216539467,3.761309023953827,3.3594709823186735,2.8840546117486,3.8199465133184236,2.7744009517045756,2.6517005719958564,6.104148834247137,5.7799956631173615,4.120776315134456,3.583969356622182,3.5480248685623486,5.267566067005514,3.5745706747600856,2.7642244952244783,2.799293156242461,3.971295104983673,2.5682664176495122,3.2346049871991527,0.0,3.5785265481211344,3.898431274720532,3.924631743022014,5.208753402759529,4.615120106882471,3.344239919100236,3.920421157054154,3.163991700589553
cell571_GM12878_,3.5489178236517818,3.888892090200346,2.949794605388462,2.9800859062827287,4.147748115440176,4.767416830645088,4.620064305418596,2.624555342672073,3.585538662245826,2.7035464629095793,3.477413301083598,2.556822928793017,3.14794870244014,3.5649268732011086,3.6653640800405647,3.2207452957443348,3.3145382817345945,3.2803206319602225,3.054926796922471,3.5443795512456076,3.6847893776605654,4.667135104282812,3.160679959435624,2.9205272455944975,4.187618614514797,2.8475237568018374,3.393105712163944,3.1519551145143945,3.545192068133856,3.657001509668157,3.5112006402064253,3.5785265481211344,0.0,2.763153163552465,3.1184237022592893,3.4449795144095203,3.7578861814121853,4.666455118216073,3.6297191278351453,3.160004330973238
cell33_HAP1_,3.538309060480806,4.11543359471962,3.0505070131480654,2.9410240043159757,3.3358542905267337,4.523222356179225,3.6739505573081876,2.03903522705567,2.551231233840681,2.3162879231706537,3.4095371606075933,2.1192308012835746,2.505708889228786,3.4523864771748323,3.2754583179556986,3.2417896321985222,2.786940746774801,3.300336554591224,3.2284371995656453,2.8558977744002796,2.508609766650697,4.725355073916393,3.1696028972096535,2.858203823582965,2.888084097790104,2.3844133877162705,3.6934027725410283,2.9819392694898337,3.113916886499589,3.993141305646734,3.491673118284631,3.898431274720532,2.763153163552465,0.0,2.576645345942025,2.6956748131366757,3.332789642351866,4.350745087879062,3.6907420083067652,2.6938815227444683
cell581_GM12878_,3.509693764210815,3.7653579896813243,3.153728334359461,3.1733986735620814,3.7411641297071685,4.296624032137698,4.093808853466134,2.588107256197329,3.1518810521954244,2.854909191644056,3.9437341117297438,2.8006201836617333,2.845227592112024,3.394907123567113,3.5137891407667423,3.206483415520659,2.990362828906763,3.65473704384861,3.2646508447844838,3.2853237273439815,3.1366988964934146,5.031526097737329,3.4048674988704475,2.986806434570517,3.5796162241420797,2.5854403227074836,3.419453609344247,3.2109543100872573,3.6290854672590873,3.956850264339799,3.5545003537866506,3.924631743022014,3.1184237022592893,2.576645345942025,0.0,3.1813634939238935,3.9224584462851735,4.60679896563523,3.6660217180567134,3.0070806421795773
cell281_HAP1_,4.41548352461336,4.8475568486293685,3.6070753238220306,3.167642875737652,3.996672563556368,5.0617321813431655,3.96790028637246,2.393812938615759,3.499553067429879,2.615773001933279,4.396391797726581,2.6185942735870125,3.4820806984687644,4.773711934154386,4.088169127021774,4.3081219316178885,3.5824871702213366,4.7052739083324795,4.049275813753015,3.124787208688267,2.733703948534717,5.948653888376098,3.7097371930437815,3.3609709279149937,3.6843044217415652,2.978678218698463,4.824592316809054,3.816533456563125,3.7631705192344294,4.8253980242252625,4.398150679149207,5.208753402759529,3.4449795144095203,2.6956748131366757,3.1813634939238935,0.0,3.8936104650564527,5.661656034230354,4.391896680655444,2.9635275310591394
cell341_HAP1_,4.305988809116538,4.4042253107082985,3.7791190022516865,4.362253956280107,4.621070109761642,5.489939938467899,5.332148305411067,3.4327156890834596,4.235223550120105,3.3201888261457713,4.323955778702501,3.5780499341421237,4.4596994917543125,4.391457078027633,3.795839290947664,3.9464376203573153,3.990690785115934,4.536176453373276,4.368462369320212,4.427710272943191,4.372327016878195,6.098704526260212,4.271001793956517,4.099372900378443,4.601385281629433,3.8561794013836543,4.523366988700845,3.940276339891259,4.067566489188758,4.615985447918323,4.609986116494145,4.615120106882471,3.7578861814121853,3.332789642351866,3.9224584462851735,3.8936104650564527,0.0,5.267062247494524,4.646855724268846,3.4699826228373705
cell498_HeLa_,3.550081227984566,4.286211519949367,3.7210920245638013,4.827146100919743,4.6959595517808665,4.148277653860376,6.101079799210066,4.845647117497889,5.128922504311885,3.9228302257069805,3.276507784841647,3.8843834564508235,4.876254055929604,3.6389617778776344,3.654136984427373,3.0127228087022795,4.516492885094446,3.434967815600964,3.3316803963302117,6.980040269328105,6.748955490604357,4.490842158230677,4.354303913887767,4.436983633733692,5.894353881841731,4.1237105377074,3.870396655997882,3.776349968383073,4.556968387159133,3.3694513016296153,3.3927079377299814,3.344239919100236,4.666455118216073,4.350745087879062,4.60679896563523,5.661656034230354,5.267062247494524,0.0,4.230200729079513,3.9673275158150823
